rid,rkey,date,status,contact.id,comments,ip.address,long,lat,county,city,region,postal,url,url2,url3,url4,intro logic,agree,userid,user,time,page.logic1,Copy of userid,policy.placement,healthcare.law,imm.law,photo.nonphoto.pk,hr,ns,jn,hr2,jn2,ns2,page.logic,am1,mm1,mm2,am2,am11,am21,mm11,mm21,correct.or.conf,rg,sb,rg.rg,rg.ad,rg.jc,rg.ak,how.sure,sb.jb,sb.sb,sb.ks,sb.tv,health.ins.y,health.ins.r,health.ins.d,illegal.y,illegal.r,illegal.d,ideology.n,ideology,news.wsj,news.nyt,news.wp,news.usa,news.other,news.other.s,tv.cbs,tv.fox,tv.pbs,tv.nbc,tv.other,tv.abc,tv.others,cable.fox,cable.msnbc,cable.cspan,cable.bbc,cable.other,cable.cnn,cable.others,radio.npr,radio.rl,radio.ms,radio.other,radio.others,web.huff,web.drudge,web.portal,web.other,web.other.s,tv.days,attention,talk.politics,talk.other.politics,pid1,pid.other,pid2.r,pid2.d,pid2.other,therm.b,therm.r,therm.d,therm.w,therm.h,therm.l,therm.ill,open.closed,ww2.cas,fem.death,ww2.cas2,fem.death2,deport,deport.sure,imm,imm.sure,steagall,healthcare.pk1,healthbill,death.panel,medicare,future.increase,cuts.benefits,illegal,single.payer,upper.class,mammograms,tax.100k,welfare,blk.welfare,dkencouraging.dk.discouraging,reagan,clinton,wbush,reagan2,clinton2,wbush2,obama2,pol.interest,vote.2010,contribute1,contact,attend,def.party,def.other,healthcare.law2,imm.law2,structure,certain,oneside,changeview,confident,curiosity,considerate,independence,obedience
239,219237,9/9/2010 21:54,Complete,,,76.126.110.122,-122.5212,37.998,United States,San Rafael,CA,,,,,FY101592,,I agree to participate,FY101592,,27,,,start,8,2,nonphoto,Senate Majority Leader,president of France,Secy of Homeland Security,,,,,"Prime Minister, Germany",Senate Minority Leader,,,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,,1,7,4,7,2,4,,Very liberal,,NY Times,Washington Post,,,,,,,,,,,,,,,,,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,,4,3,Democrat,,,Strong,,85,30,70,70,60,,,closed,[Erstwhile] Soviet Union,Heart Disease,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,Don't Know,Couldn't say,Limits future increases in payments to Medicare providers,,,,,,,,,40%,10%,20%,Branch A,Increased,Decreased,Increased,,,,,7,10,8,8,8,Don't Know,,,,2,5,4,3,2,2,2,3,6
238,219211,9/9/2010 21:36,Complete,,,67.176.62.169,-104.9793,39.7437,United States,Denver,CO,,,,,FY101276,,I agree to participate,FY101276,,30,,,end,,,photo,,,,Speaker of House,Supreme Court?,President's advisor?,,,,Senate?,,,Chancellor of Germany,,,percent,,,5,0,0,0,,5,0,0,0,1,7,2,7,1,3,,Liberal,,,,, Other ,"Denver Post, Boulder Daily Camera, NYTimes on line",CBS,,PBS,,,,,,,,,,,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",Other,Australian papers,6,A moderate amount,2,5,Democrat,,,Not very strong,,85,60,70,85,85,85,85,closed,[Erstwhile] Soviet Union,Unintentional injuries,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",6,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,Bill Clinton,,,0,0,0,2,0,0,4,9,12%,20%,40%,Branch B,,,,Increased,Decreased,Increased,Increased,5,10,10,5,2,Democrats,,9,4,3,6,6,4,2,1,1,2,7
237,219210,9/9/2010 21:35,Complete,,,69.86.145.181,-73.9512,40.7805,United States,New York,NY,10128,,,,FY101617,,I agree to participate,FY101617,,21,,,end,,,nonphoto,Senator from Nevada and Senate Majority Leader,President of France,Head of Homeland Security,,,,,Chancellor of Germany,Senate Minority Leader,,,,,,,percent,,,10,0,,,,,,,,2,7,4,4,2,5,,Slightly liberal,Wall Street Journal,NY Times,,, Other ,Financial Times,,,,,,,,,,,,,,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",Other,MSNBC,0,,3,2,Democrat,,,Strong,,60,30,40,50,40,50,30,open,,,Japan,Heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",3,Can  ask anyone they suspect of being an illegal immigrant for their papers,9,Bill Clinton,,,3,0,8,6,0,0,8,2,28%,3%,15%,Branch B,,,,Increased,Decreased,Increased,Increased,7,10,2,2,2,Other,neither party is showing the political will to do so,8,2,2,5,3,2,2,6,4,6,2
236,219208,9/9/2010 22:39,Complete,,,173.76.152.249,-71.2269,42.3501,United States,West Newton,MA,2465,,,,FY101562,,I agree to participate,FY101562,,66,,,end,,,photo,,,,,,,,,,,,,Don't Know,,Senate Minority Leader,percent,,,5,0,0,0,,0,5,0,0,1,5,3,4,I haven't thought much about this,3,,Moderate,,NY Times,,USA Today, Other ,"town newspaper,",CBS,Fox,PBS,NBC,,ABC,,Fox News,MSNBC,,BBC,,CNN,,NPR,,,,,,,,,,3,A moderate amount,2,7,Independent,,,,Closer to Republican Party,70,60,40,70,85,85,85,closed,Couldn't say,Heart Disease,,,Question any person whom they suspect to be an illegal immigrant for their papers,6,Can  ask anyone they suspect of being an illegal immigrant for their papers,9,Don't Know,,,1,5,6,7,1,2,2,2,25%,12%,40%,Branch A,Increased,Decreased,Increased,,,,,5,10,6,9,8,Republicans,, dk, dk,7,5,5,3,5,2,1,3,5
235,219203,9/9/2010 21:15,Complete,,,70.184.96.3,-112.0839,33.5222,United States,Phoenix,AZ,,,,,FY101297,,I agree to participate,FY101297,,45,,,end,,,nonphoto,Senate leader,Pres. of France,Dir. Homeland Security,,,,,German chancellor,Minority leader,,,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,,1,6,3,5,1,4,,Slightly liberal,Wall Street Journal,NY Times,,, Other ,AZ Republic,,,,,,,,,MSNBC,,,,CNN,,NPR,,,,,,,,,,4,A moderate amount,5,3,Democrat,,,Strong,,80,20,65,70,80,100,70,open,,,Russia,cancer,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",2,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,10,Ronald Reagan,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,23%,6%,35%,Branch A,Decreased,Decreased,Increased,,,,,6,10,7,5,4,Democrats,,10,0,5,5,3,3,3,3,3,4,5
233,219199,9/9/2010 21:24,Complete,,,163.150.21.253,-117.1553,34.1359,United States,Highland,CA,92346,,,,FY101287,,I agree to participate,FY101287,,47,,,end,,,nonphoto,"Senator, Majority Leader",Prime Minister,Secretary of Home Land Security,,,,,Prime Minister,Senator,,,,,,,regular,Anthony Kennedy,Ken Salazar,,,,,,,,,,1,7,3,6,1,5,,Very liberal,,,,, Other ,Los Angeles Times,,,,,,,,,,,,,,,NPR,,, Others ,Pacific,Huffington Post,,,,,0,,6,8,Democrat,,,Not very strong,,85,30,60,85,85,85,85,open,,,Soviet Union,Heart Attack,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",8,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,Bill Clinton,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,25%,4%,40%,Branch A,Increased,Decreased,Increased,,,,,8,10,4,9,8,Democrats,,8,0,1,2,2,2,2,3,3,3,6
232,219194,9/9/2010 21:07,Complete,,,76.21.211.241,-77.0386,38.9213,United States,Washington,DC,20009,,,,FY101033,,I agree to participate,FY101033,,38,,,end,,,nonphoto,Senate Majority Leader,President of France,,,,,,German Chancellor,,,,,,Don't Know,,percent,,,0,7,0,0,,0,5,0,5,2,7,2,6,2,5,,Liberal,Wall Street Journal,NY Times,,, Other ,"Financial Times, Bloomberg",,,,,,,,,,,,,,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,Not at all,5,7,Democrat,,,Strong,,85,40,70,100,90,100,95,open,,,Russia,Heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",8,Can  ask anyone they suspect of being an illegal immigrant for their papers,9,George H. Bush,,,2,0,4,0,3,0,7,4,35%,20%,30%,Branch A,Increased,Decreased,Increased,,,,,5,8,0,10,5,Other,It has more to do with the economic climate than the party in power,8,0,2,5,2,5,6,2,1,2,6
231,219189,9/9/2010 21:06,Complete,,,71.202.89.233,-122.5663,37.8959,United States,Mill Valley,CA,94941,,,,FY101810,,I agree to participate,FY101810,,39,,,end,,,photo,,,,,,,,,,,,,Chancellor of Germany,,Don't Know,percent,,,0,0,0,0,,0,0,0,0,2,5,2,5,3,6,,Slightly conservative,,NY Times,,, Other ,CS Monitor,,,,,,,,,,,,,,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A moderate amount,,5,Republican,,Not very strong,,,70,50,50,70,70,70,70,closed,[Erstwhile] Soviet Union,Heart Disease,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",6,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Bill Clinton,,,0,0,0,0,5,0,10,10,40%,1%,20%,Branch B,,,,Remained the Same,Decreased,Increased,Increased,2,10,6,0,8,Republicans,,4,1,2,5,6,6,5,3,2,3,6
230,219187,9/9/2010 21:05,Complete,,,99.91.137.236,-97,38,United States,,,,,,,FY101575,,I agree to participate,FY101575,,33,,,start,4,0,nonphoto,Senate Majority Leader,Pres. of France,Secretary of Homeland Security,,,,,President of Germany,House Minority Leader,,,,,,,percent,,,10,,,,,,10,,,4,7,2,6,1,7,,Liberal,,,,, Other ,LA Times,,,PBS,NBC,,,,,,,,,CNN,,NPR,,,,,,,,Other,not,7,A great deal,7,3,Democrat,,,Not very strong,,90,60,60,80,90,95,80,closed,[Erstwhile] Soviet Union,Heart Disease,,,Deny aid to known illegal immigrants,9,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,9,Bill Clinton,,,0,0,0,0,0,0,0,0,30%,5%,0.03%,Branch A,Increased,Decreased,Increased,,,,,10,10,0,8,9,Don't Know,,,,2,7,6,4,2,2,1,3,6
229,219185,9/9/2010 20:53,Complete,,,98.204.81.18,-77.0231,38.9097,United States,Washington,DC,,,,,FY101673,,I agree to participate,FY101673,,17,,,end,,,photo,,,,newcaster,politician,sales,,,,vice presidnet,senator,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,,2,7,1,6,1,7,,Liberal,Wall Street Journal,,Washington Post,,,,,Fox,,NBC,,,,,,,,,,,,,,,,,,,,,4,A little,1,5,Democrat,,,Not very strong,,70,70,70,70,70,70,70,closed,Couldn't say,Breast Cancer,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Don't Know,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,25%,15%,15%,Branch A,Don't Know,Remained the Same,Increased,,,,,5,2,2,2,3,Democrats,,8,0,2,3,6,4,3,4,2,4,6
228,219178,9/9/2010 20:51,Complete,,,66.245.155.83,-122.271,37.8781,United States,Berkeley,CA,,,,,FY101310,,I agree to participate,FY101310,,38,,,end,,,nonphoto,Senator,French premier,cabinet member,,,,,German chancellor,Congressman,,,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,,1,7,1,7,1,4,,Liberal,,NY Times,,,,,,,PBS,,,,,,,,,,CNN,,NPR,,,,,,,,,,7,A lot,5,2,Democrat,,,Strong,,70,40,70,70,70,70,60,closed,[Erstwhile] Soviet Union,Heart Disease,,,Question any person whom they suspect to be an illegal immigrant for their papers,5,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,Bill Clinton,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,20%,5%,20%,Branch B,,,,Increased,Decreased,Increased,Increased,8,10,10,10,7,Republicans,,10,0,2,6,4,4,4,1,2,2,7
