topic,pollingfirm,date,question,correct,incorrect,dk,noptions,explicitdk,matter.of.opinion,n,lcongenial.options,rcongenial.options,correct.valence ,prompt.type ,inference
Obama Citizenship,CBS News (60 Minutes/Vanity Fair Poll),06/1-3/10,"Do you think Barack Obama was born in the United States, or do you think he was born in another country?",60.73,24.9,14.37,3,Y,Y,960,0,1,N,DYT,N
Obama Citizenship,CBS News and The New York Times,04/5-12/10,"According to the Constitution, American Presidents must be ""natural born citizens."" Some people say Barack Obama was NOT born in the United States, but was born in another country. Do YOU think Barack Obama was born in the United States, or do you think he was born in another country? ",51.35,23.95,24.7,2,Y,Y,"1,591",0,1,N,DYT,Y
Obama Citizenship,Opinion Research Corporation (CNN),07/16-21/10,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?**",73.78,23.84,2.38,4,N,Y,"1,468",0,2,N,DYT,N
Obama Religion,"Abt SRBI, Inc. (Time Magazine)",08/16-17/10,Do you personally believe that Barack Obama is a Muslim or a Christian?,44.71,30.44,24.85,2,N,Y,"1,002",0,1,N,DYPB,N
Obama Religion,Pew Center for the People and the Press,07/21/10-08/5/10,"Now, thinking about Barak Obama's religious beliefs…Do you happen to know what Barack Obama's religion is?  Is he Christian, Jewish, Muslim, Buddhist, Hindu, athiest, agnostic, or something else?",34,21,43,4,Y,N,NA,0,2,N,N/A,N
Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/10-15/10,"As far as you know, has the independent Congressional Budget Office which analyzes the cost of legislation said the health reform legislation currently being discussed in Congress will (increase) the federal budget deficit over the next ten years, (decrease) the deficit over the next ten years, or is it not expected to have much impact on the deficit? (ROTATE OPTIONS IN PARENTHESES) ",14.49,75.66,9.85,3,N,Y,"1,208",1,1,L,AFYK,N
Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),04/09-15/10,"As far as you know, has the independent Congressional Budget Office which analyzes the cost of legislation said the health reform law will (increase) the federal budget deficit over the next ten years, (decrease) the deficit over the next ten years, or is it not expected to have much impact on the deficit? (ROTATE OPTIONS IN PARENTHESES)",27.81,60.18,12,3,N,Y,"1,208",1,1,L,AFYK,N
Health Care,Pew Research Center for the People & the Press,08/14-17/09,"From what you know, do you think it is true or not true that the health care (reform) legislation will create these so called 'death panels' (or government organizations that will make decisions about who will and will not receive health services when they are critically illl)?*",50,30,20,2,N,Y,"1,003",0,1,N,AFYK,N
Health Care,Kaiser Family Foundation and the Harvard School of Public Health,1/4-14/11,"Do you think health care costs nationally are rising faster than the overall rate of inflation, slower than the overall rate of inflation, or at about the same rate?",63,33,4,3,N,Y,"1,502",0,2,L,DYT,N
Iraq ,Princeton Survey Research Associates International (Newsweek),06/18-19/07,"Do you think Saddam Hussein’s regime in Iraq was DIRECTLY involved in planning, financing, or carrying out the terrorist attacks of September 11th, 2001, or not? ",53.53,37.26,9.39,2,N,Y,"1,001",0,1,L,DYT,N
Iraq ,Princeton Survey Research Associates International (Newsweek),06/18-19/07,"To the best of your knowledge, has the U.S. found chemical or biological weapons hidden by Saddam Hussein’s regime since the Iraq war began in 2003, or not?",71.76,19.48,8.89,2,N,Y,"1,001",0,1,L,TBYK,N
Iraq ,Princeton Survey Research Associates International (Newsweek),06/18-19/07,Which ONE of the following countries did most of the 9/11 hijackers come from?,49.35,38.46,12.19,4,N,N,"1,001",0,1,N,N/A,N
Iraq ,Peter D. Hart and Robert M. Teeter (NBC News/Wall Street Journal),06/25-28/04,"Based on what you have learned, please tell me whether you believe each of the following is true or is not true. Iraq had weapons of mass destruction.",37.35,53.31,9.34,2,N,Y,"1,025",0,1,L,BWYH,N
Iraq ,Peter D. Hart and Robert M. Teeter (NBC News/Wall Street Journal),06/25-28/04,"Based on what you have learned, please tell me whether you believe each of the following is true or is not true. Iraq was connected to the September eleventh terrorist attacks.",49.42,39.3,11.28,2,N,Y,"1,025",0,1,L,BWYH,N
Iraq ,Princeton University Research Associates (Knight-Ridder),01/3-6/03,"As far as you know, does IRAQ now have Nuclear Weapons, or not?",26.58,38.29,35.13,2,N,Y,"1,204",0,1,L,AFYK,N
Iraq ,Princeton University Research Associates (Knight-Ridder),01/3-6/03,"As far as you know, does IRAQ now have Chemical or biological weapons, or not?",9.63,62.54,27.82,2,N,Y,"1,204",0,1,L,AFYK,N
Iraq ,Princeton University Research Associates (Knight-Ridder),01/3-6/03,"Please try to answer my next questions about Iraq to the best of your knowledge.  But if you're not sure of an answer - that's okay - just tell me and I'll go to the next question.  Do you think Iraq and Al Queda - Osama bin Laden's organization - are allied and working together to plan new acts of terrorism, or not?",18.44,63.87,17.69,2,Y,Y,"1,204",0,1,L,DYT,N
Iraq ,Princeton University Research Associates (Knight-Ridder),01/3-6/03,"As far as you know, how many of the September 11th terrorist hijackers were Iraqi citizens...",17,50,33,4,Y,Y,"1,204",1,2,L,AFYK,N
Iraq ,Gallup Organization (Gallup/CNN/USA Today),06/21-23/04,"Do you think Saddam Hussein [suh-DAHM WHO-sane] was personally involved in the September 11th terrorist attacks, or not?",54.89,40.33,4.78,2,N,Y,"1,005",0,1,L,DYT,N
