rid,rkey,date,status,contact.id,comments,ip.address,long,lat,county,city,region,postal,url,intro logic,agree,userid,user,time,page.logic1,Copy of userid,policy.placement,healthcare.law,imm.law,photo.nonphoto.pk,hr,ns,jn,hr2,jn2,ns2,page.logic,am1,mm1,mm2,am2,am11,am21,mm11,mm21,correct.or.conf,rg,sb,rg.rg,rg.ad,rg.jc,rg.ak,sb.jb,sb.sb,sb.ks,sb.tv,health.ins.y,health.ins.r,health.ins.d,illegal.y,illegal.r,illegal.d,ideology,news.wsj,news.nyt,news.wp,news.usa,news.other,news.other.s,tv.cbs,tv.fox,tv.pbs,tv.nbc,tv.other,tv.abc,tv.others,cable.fox,cable.msnbc,cable.cspan,cable.bbc,cable.other,cable.cnn,cable.others,radio.npr,radio.rl,radio.ms,radio.other,radio.others,web.huff,web.drudge,web.portal,web.other,web.other.s,tv.days,attention,talk.politics,talk.other.politics,pid1,pid.other,pid2.r,pid2.d,pid2.other,therm.b,therm.r,therm.d,therm.w,therm.h,therm.l,therm.ill,open.closed,ww2.cas,fem.death,ww2.cas2,fem.death2,deport,deport.sure,imm,imm.sure,steagall,healthcare.pk1,healthbill,death.panel,medicare,future.increase,cuts.benefits,illegal,single.payer,upper.class,mammograms,tax.100k,welfare,blk.welfare,dkencouraging.dk.discouraging,reagan,clinton,wbush,obama,reagan2,clinton2,wbush2,obama2,pol.interest,vote.2010,contribute1,contact,attend,def.party,def.other,healthcare.law2,imm.law2,structure,certain,oneside,changeview,confident,curiosity,considerate,independence,obedience,sex,year.born,educ.s,income,religion,religion2,rel.freq,hispanic,white,black,native,asian,pacific,other.race,other.race2
74,252701,9/29/2010 1:15,Partial,,,70.143.86.250,-121.8569,37.3073,United States,San Jose,CA,,srep0399,,I agree to participate,srep0399,,35,,,end,,,photo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,252700,9/29/2010 1:26,Partial,,,75.24.111.178,-121.8569,37.3073,United States,San Jose,CA,,srep0224,,I agree to participate,srep0224,,86,,,start,9,0,nonphoto,Republican Leader in US Senate,French President,,,,,,,Republican US House,,,Chancellor of Germany,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,2,7,1,5,1,7,Moderate,,NY Times,,,,,,,,,,,,,,,,,,,NPR,,,,,,,,,,0,Not at all,4,5,Democrat,,,Not very strong,,70,30,60,70,70,70,70,closed,Poland,Heart Disease,,,Remained about the same,,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,George H. Bush,Provides coverage for people who are currently in the country illegally,Replaces Medicare with a “public option”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,251264,9/28/2010 1:13,Partial,,,171.66.91.153,-122.172,37.4178,United States,Stanford,CA,94305,FY1000,,I agree to participate,FY1000,,7,,,end,,,photo,,,,,,,,,,,,,,,,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,253978,9/29/2010 18:58,Partial,,,171.64.196.110,-122.172,37.4178,United States,Stanford,CA,94305,srep0269,,I agree to participate,srep0269,,32,,,end,,,nonphoto,Senator,President of France,financial somebody,,,,,German Prime Minister,no clue,,,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,2,7,2,7,1,5,Liberal,,,,, Other ,Public Radio,,,,,Other,,Comedy Central,,,,BBC,,,,NPR,,,,,,,,,,0,A great deal,1,5,Democrat,,,Strong,,85,40,60,85,85,85,60,closed,[Erstwhile] Soviet Union,Heart Disease,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Ronald Reagan,Couldn't say,Couldn't say,,,,,,,,,75%,2%,23%,Branch B,,,,,Increased,Decreased,Increased,Increased,1,10,0,5,5,Don't Know,,6,0,5,5,6,5,5,2,2,2,4,Female,1956,"Bachelor's Degree, such as B.A., B.S., or A.B.","$65,000 ",,,,,,,,,,,
16,252435,9/28/2010 19:05,Partial,,,171.64.60.127,-122.172,37.4178,United States,Stanford,CA,94305,srep0366,,I agree to participate,srep0366,,67,,,end,,,photo,,,,lieberman,Supreme Court Judge,,,,,No clue,No clue,,,,,percent,,,o,o,o,o,0,0,0,0,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,252436,9/28/2010 19:11,Partial,,,171.66.226.13,-122.172,37.4178,United States,Stanford,CA,94305,srep0382,,I agree to participate,srep0382,,102,,,end,,,nonphoto,"Senator, Nevada",President of France,Director of Homeland Security,,,,,Chancellor of Germany,"House of Representatives, Kentucky",,,,,,,percent,,,50,0,50,0,0,100,0,0,1,7,1,6,1,5,Liberal,Wall Street Journal,NY Times,Washington Post,,,,,,,,,,,,MSNBC,,,,CNN,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,3,A moderate amount,4,5,Democrat,,,Strong,,100,75,75,100,100,100,95,open,,,Russia,Heart disease,Decreased,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,George H. Bush,,,0,0,5,0,5,0,5,5,25%,1%,5%,Branch B,,,,,Increased,Decreased,Increased,Increased,6,5,5,3,3,Democrats,,8,0,2,5,2,3,4,5,3,3,5,Female,1981,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",75000,,,,,,,,,,,
19,252439,9/28/2010 19:06,Partial,,,171.64.245.79,-122.172,37.4178,United States,Stanford,CA,94305,srep0154,,I agree to participate,srep0154,,11,,,end,,,photo,,,,don't know,don't know,don't know,,,,not known,not know,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,1,I haven't thought much about this,I haven't thought much about this,5,I haven't thought much about this,I haven't thought much about this,Very liberal,,NY Times,,,,,,,,,,ABC,,,,,,,CNN,,,,,,,,,,,,7,A moderate amount,,4,Democrat,,,Strong,,,,,,,,,open,,,,cancer,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,252440,9/28/2010 19:01,Partial,,,171.65.164.53,-122.172,37.4178,United States,Stanford,CA,94305,srep0251,,I agree to participate,srep0251,,13,,,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,252443,9/28/2010 19:02,Partial,,,171.64.242.54,-122.172,37.4178,United States,Stanford,CA,94305,srep0367,,I agree to participate,srep0367,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,252448,9/28/2010 19:10,Partial,,,171.67.132.98,-122.172,37.4178,United States,Stanford,CA,94305,srep0274,,I agree to participate,srep0274,,7,,,end,,,photo,,,,,,,,,,,governor candidate,,,,Don't Know,percent,,,7,0,0,0,2,2,3,2,2,7,1,6,2,6,Liberal,,NY Times,,, Other ,"BBC, CNN, SFGate",,,,NBC,,ABC,,,,,,,CNN,,NPR,,,,,Huffington Post,,,,,1,A moderate amount,1,3,Democrat,,,Strong,,90,50,90,90,90,90,90,closed,Germany,Heart Disease,,,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,0,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
