,misinfo,topic,polling_firm,sponsor,academic_comm,date,question,link,correct,leaning correct,incorrect,leaning incorrect,dk,not sure,refused_na,no opinion,undecided,misinformation,n_options,explicit_dk,explicit_ns,matter_of_opinion,n,mode,l_congenial_options,r_congenial_options,correct_valence ,prompt_type ,ire,footnotes
1,Y,Obama Citizenship,Selzer & Co.,Bloomberg,0,09/21-24/16,Do you think President Barack Obama was or was not born in the United States?,https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  born AND  in AND  the AND  united AND  states&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Bloomberg&studydate=01-JAN-34&sample=1002&qstn_list=&qstnid=1885893&qa_list=&qstn_id4=1885893&study_list=&lastSearchId=317673058348&archno=&keywordDisplay=,75,0,11,0,0,14,0,0,0,,2,N,N,Y,"1,002",telephone,,,L,DYT,N,
2,Y,Obama Citizenship,Opinion Research Corporation,CNN,0,04/29/11-05/01/11,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  definitely AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  another country or definitely AND  born AND  in AND  another AND  country&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Cable News Network&studydate=April 29-May 1, 2011&sample=1034&qstn_list=&qstnid=1785416&qa_list=&qstn_id4=1785416&study_list=&lastSearchId=317673058310&archno=USORCCNN2011-007&keywordDisplay=",58,22,7,10,0,0,0,2,0,7,4,N,N,Y,"1,034",telephone,,,L,DYT,N,"definitely born in US (58%), probably born in US (22%), probably born in another country (10%), definitely born in another country (7%), no opinion (2%)"
3,Y,Obama Citizenship,Gallup Organization,Gallup/CNN/USA Today,0,05/05-08/11,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  definitely AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  another country or definitely AND  born AND  in AND  another AND  country&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=May 5-8, 2011&sample=1018&qstn_list=&qstnid=1785885&qa_list=&qstn_id4=1785885&study_list=&lastSearchId=317673058229&archno=USAIPOGNS2011-09&keywordDisplay=",47,18,5,8,20,0,1,0,0,5,5,Y,N,Y,"1,018",telephone,,,L,DYT,N,"definitely born in US (47%), probably born in US (18%), probably born in another country (8%), definitely born in another country (5%), don't know enough to say (20%), no answer (1%)"
4,Y,Obama Citizenship,Gallup Organization,Gallup/CNN/USA Today,0,04/20-23/11,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  definitely AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  another country or definitely AND  born AND  in AND  another AND  country&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=April 20-23, 2011&sample=1013&qstn_list=&qstnid=1786033&qa_list=&qstn_id4=1786033&study_list=&lastSearchId=317673058326&archno=USAIPOUSA2011-07&keywordDisplay=",38,18,9,15,19,0,1,0,0,9,5,Y,N,Y,"1,013",telephone,,,L,DYT,N,"definitely born in US (38%), probably born in US (18%), probably born in another country (15%), definitely born in another country (9%), don't know enough to say (19%), no answer (1%)"
5,Y,Obama Citizenship,CBS News/New York Times,,0,04/15-20/11,"According to the Constitution, American presidents must be 'natural born citizens.' Some people say Barack Obama was not born in the United States, but was born in another country. Do you think Barack Obama was born in the United States, or do you think he was born in another country?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=according AND  to AND  the constitution AND  american AND  presidents AND  must AND  be AND  natural AND  born citizens AND  some AND  people AND  say AND  barack AND  obama&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=April 15-20, 2011&sample=1224&qstn_list=&qstnid=1784518&qa_list=&qstn_id4=1784518&study_list=&lastSearchId=317673058339&archno=USCBSNYT2011-04A&keywordDisplay=",57,0,25,0,18,0,0,0,0,,2,N,N,Y,"1,224",telephone,,,L,DYT,Y,Don't know/No answer (18%)
6,Y,Obama Citizenship,Anderson Robbins Research/Shaw & Co. Research,Fox News,0,04/03-05/11,"Do you think Barack Obama was born in the United States, or not?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  born AND  in AND  the AND  united states&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Fox News&studydate=April 3-5, 2011&sample=914&qstn_list=&qstnid=1783860&qa_list=&qstn_id4=1783860&study_list=&lastSearchId=317673058380&archno=USFOX2011-0405&keywordDisplay=",67,0,24,0,10,0,0,0,0,,2,N,N,Y,914,telephone,,,L,DYT,N,landline(712)/cellular(202)
7,Y,Obama Citizenship,Opinion Research Corporation,CNN,0,03/11-13/11,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  definitely AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  another country or definitely AND  born AND  in AND  another AND  country&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Cable News Network&studydate=March 11-13, 2011&sample=1023&qstn_list=&qstnid=1789986&qa_list=&qstn_id4=1789986&study_list=&lastSearchId=317673058329&archno=USORCCNN2011-004&keywordDisplay=",46,26,10,15,0,0,3,0,0,10,4,N,N,Y,"1,023",telephone,,,,DYT,N,"definitely born in the US (46%), probably born in the US (26%), probably born in another country (15%), definitely born in another country (10%), don't know/undecided/refused (3%)"
8,Y,Obama Citizenship,CBS News,Vanity Fair,0,06/01-03/10,"Do you think Barack Obama was born in the United States, or do you think he was born in another country?...Hawaii, Kansas, someplace else in the US, not sure which state in the US, Kenya, Indonesia, someplace else outside the US, not sure which country","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  born AND  in AND  the AND  united AND  states&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Vanity Fair&studydate=June 1-3, 2010&sample=960&qstn_list=&qstnid=1777657&qa_list=&qstn_id4=1777657&study_list=&lastSearchId=317673058354&archno=USCBS2010-06A&keywordDisplay=",39,0,48,0,13,0,0,0,0,,8,N,N,Y,960,telephone,,,L,DYT,N,"Hawaii (39%), Kansas (1%), someplace else in the US (3%), not sure which state in the US (20%), Kenya (6%), Indonesia (2%), someplace else outside the US (5%), not sure which country (11%), don't know/no answer (13%)"
9,Y,Obama Citizenship,Knowledge Networks,Program on International Policy Attitudes,0,11/06-15/10,"As you may know, some people have suggested that President (Barack) Obama was not born in the United States. Do you think Obama was not born in the US, Obama was born in the US, or it is not clear whether Obama was born in the US or not?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  born AND  in AND  the AND  united AND  states&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=November 6-15, 2010&sample=848&qstn_list=&qstnid=1777356&qa_list=&qstn_id4=1777356&study_list=&lastSearchId=317673058366&archno=USUMARY2010-11&keywordDisplay=",55,0,44,0,0,0,1,0,0,,3,N,N,Y,848,online,,,L,DYT,Y,"Obama was not born in the US (15%), Obama was born in the US (55%), It is not clear whether Obama was born in the US or not (29%), Don't know/Refused (1%)"
10,Y,Obama Citizenship,Opinion Research Corporation,CNN,0,07/16-21/10,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  definitely AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  another country or definitely AND  born AND  in AND  another AND  country&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Cable News Network&studydate=July 16-21, 2010&sample=1018&qstn_list=&qstnid=1767778&qa_list=&qstn_id4=1767778&study_list=&lastSearchId=317673058331&archno=USORCCNN2010-010&keywordDisplay=",42,29,11,16,0,0,0,2,0,11,4,N,N,Y,"1,018",telephone,,,L,DYT,N,"definitely born in the US (42%), probably born in the US (29%), probably born in another country (16%), definitely born in another country (11%), no opinion (2%)"
